prodcode	dmdcode	gemscriptcode	drugissues	productname	drugsubstancename	substancestrength	formulation	routeofadministration	bnfchapter	bnftext	firstbuild	termfromemis
9738	39708411000001103	62359020	72395	Dexamfetamine 5mg tablets	Dexamfetamine sulfate	5mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
24101	151785001000027108	05089007	7	DEXEDRINE 2.5 MG TAB					00000000	Unknown	February 2009	
16185	242615001000027109	90727020	9	Dexamfetamine 15mg modified-release capsules	Dexamfetamine Sulphate	15mg	Modified Release Capsules	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
69727	15846511000001104	36627020	0	Adderall XR 15mg capsules (Imported (United States))	Amfetamine/Dexamfetamine	7.5mg + 7.5mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	June 2017	
57786	426586000	11067020	10742	Lisdexamfetamine 70mg capsules	Lisdexamfetamine dimesylate	70mg	Capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	October 2013	
66788	32272411000001106	62410021	2172	Elvanse 60mg capsules (Takeda UK Ltd)	Lisdexamfetamine dimesylate	60mg	Capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	July 2016	
26524		!1800101	1	DEXEDRINE					00000000	Unknown	February 2009	
66457	32271111000001106	62408021	3124	Elvanse 20mg capsules (Takeda UK Ltd)	Lisdexamfetamine dimesylate	20mg	Capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	June 2016	
66081	30742411000001106	53991021	226	Amfexa 5mg tablets (Flynn Pharma Ltd)	Dexamfetamine sulfate	5mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	May 2016	
51453	11787411000001106	30006020	69	Dexamfetamine 5mg/5ml oral solution	Dexamfetamine sulfate	1mg/1ml	Oral solution	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	January 2013	
13238	240345001000027104	88975020	817	Dexamfetamine 1mg/ml oral liquid	Dexamfetamine Sulphate	1mg/ml	Oral Liquid	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
69024	33590111000001107	71057021	39	Amfexa 20mg tablets (Flynn Pharma Ltd)	Dexamfetamine sulfate	20mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	March 2017	
68847	33595911000001101	71056021	530	Dexamfetamine 20mg tablets	Dexamfetamine sulfate	20mg	Tablet	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2017	
47609	13453811000001107	96138020	91	Dexamfetamine 5mg modified-release capsules	Dexamfetamine sulfate	5mg	Modified-release capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	August 2012	
18996	54685001000027100	54859020	4	Durophet 20mg Capsule (3M Health Care Ltd)	Amfetamine/Dexamfetamine Sulphate	20mg	Capsule	Oral	04040000	CNS Stimulants And Products Used For Attention Deficit Hyperactivity Disorder (ADHD)	February 2009	
