medcodeid	observations	originalreadcode	readcode	term	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	eth16	eth5
142831000000116	2000	9iFC	9iFC.00	Israeli - ethnic category 2001 census	94081000000103	142831000000116		22	16. Other ethnic group	3. Other
138261000000114	50000	9iFD	9iFD.00	Iranian - ethnic category 2001 census	89011000000107	138261000000114		22	16. Other ethnic group	3. Other
142841000000113	30000	9iFE	9iFE.00	Kurdish - ethnic category 2001 census	94091000000101	142841000000113		22	16. Other ethnic group	3. Other
142851000000111	8000	9iFF	9iFF.00	Moroccan - ethnic category 2001 census	94101000000109	142851000000111		22	16. Other ethnic group	3. Other
142861000000114	30000	9iFG	9iFG.00	Latin American - ethnic category 2001 census	94111000000106	142861000000114		22	16. Other ethnic group	3. Other
138271000000119	40000	9iFH	9iFH.00	South and Central American - ethnic category 2001 census	89021000000101	138271000000119		22	16. Other ethnic group	3. Other
937941000006111	7000	9iFJ	9iFJ.00	Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census	94121000000100	142871000000119		22	16. Other ethnic group	3. Other
142901000000119	100000	9iFK	9iFK.00	Any other group - ethnic category 2001 census	94151000000105	142901000000119		22	16. Other ethnic group	3. Other
1968211000006112	20000	9t0G	9t0G.00	Other ethnic group: Arab - England and Wales ethnic category 2011 census	976951000000102	2485271000000117		22	16. Other ethnic group	3. Other
1968221000006116	90000	9t0H	9t0H.00	Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census	976971000000106	2485311000000117		22	16. Other ethnic group	3. Other
1968381000006110	200	9t1E	9t1E.00	Other ethnic group: Arab - Northern Ireland ethnic category 2011 census	977851000000109	2487161000000110		22	16. Other ethnic group	3. Other
1968391000006113	400	9t1F	9t1F.00	Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census	977871000000100	2487201000000119		22	16. Other ethnic group	3. Other
1968581000006119	200	9t2H	9t2H.00	Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census	978381000000105	2488261000000116		22	16. Other ethnic group	3. Other
1968591000006116	400	9t2J	9t2J.00	Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census	978401000000105	2488301000000114		22	16. Other ethnic group	3. Other
460153018	30000	9SB5	9SB5.00	Black Caribbean and White	315634007	460153018		22	4. White and Black Caribbean	4. Mixed
141321000000118	200000	9i3	9i3..00	White and Black Caribbean - ethnic category 2001 census	92421000000102	141321000000118		22	4. White and Black Caribbean	4. Mixed
1968091000006110	20000	9t04	9t04.00	Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census	976711000000103	2484791000000114		22	4. White and Black Caribbean	4. Mixed
1968261000006110	800	9t12	9t12.00	Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census	977391000000108	2486241000000118		22	4. White and Black Caribbean	4. Mixed
196611000006111	200	134L	134L.00	Afro-Caucasian	413466005	2533841013		22	5. White and Black African	4. Mixed
460154012	20000	9SB6	9SB6.00	Black African and White	315635008	460154012		22	5. White and Black African	4. Mixed
141331000000116	200000	9i4	9i4..00	White and Black African - ethnic category 2001 census	92431000000100	141331000000116		22	5. White and Black African	4. Mixed
1968101000006116	20000	9t05	9t05.00	Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census	976731000000106	2484831000000119		22	5. White and Black African	4. Mixed
1968271000006115	600	9t13	9t13.00	Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census	977411000000108	2486281000000114		22	5. White and Black African	4. Mixed
285991010	30000	9SB2	9SB2.00	Other ethnic, Asian/White orig	186021006	285991010		22	6. White and Asian	4. Mixed
141341000000113	200000	9i5	9i5..00	White and Asian - ethnic category 2001 census	92441000000109	141341000000113		22	6. White and Asian	4. Mixed
1968111000006118	20000	9t06	9t06.00	Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census	976751000000104	2484871000000117		22	6. White and Asian	4. Mixed
1968281000006117	900	9t14	9t14.00	Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census	977431000000100	2486321000000118		22	6. White and Asian	4. Mixed
4740401000006118	600	^ESCTOT474040		Other ethnic, other mixed origin	186023009	2668813019		22	7. Other Mixed	4. Mixed
459729014	1000	ESCTMI5		Mixed ethnic census group	315239007	459729014		22	7. Other Mixed	4. Mixed
4740381000006118	400	^ESCTOT474038		Other ethnic, mixed white origin	186022004	2668812012		22	7. Other Mixed	4. Mixed
4740341000006112	100	^ESCTOT474034		Other ethnic, Black/White origin	186020007	2763938013		22	7. Other Mixed	4. Mixed
4740361000006111	1000	^ESCTOT474036		Other ethnic, Asian/White origin	186021006	2764123018		22	7. Other Mixed	4. Mixed
285952017	9000	9S51	9S51.00	Other Black - Black/White orig	185999009	285952017		22	7. Other Mixed	4. Mixed
285953010	3000	9S52	9S52.00	Other Black - Black/Asian orig	186000006	285953010		22	7. Other Mixed	4. Mixed
285989019	40000	9SB	9SB..00	Other ethnic, mixed origin	186019001	285989019		22	7. Other Mixed	4. Mixed
285990011	5000	9SB1	9SB1.00	Other ethnic, Black/White orig	186020007	285990011		22	7. Other Mixed	4. Mixed
285992015	5000	9SB3	9SB3.00	Other ethnic, mixed white orig	186022004	285992015		22	7. Other Mixed	4. Mixed
285993013	30000	9SB4	9SB4.00	Other ethnic, other mixed orig	186023009	285993013		22	7. Other Mixed	4. Mixed
141351000000111	300000	9i6	9i6..00	Other Mixed background - ethnic category 2001 census	92451000000107	141351000000111		22	7. Other Mixed	4. Mixed
141471000000113	8000	9i60	9i60.00	Black and Asian - ethnic category 2001 census	92581000000100	141471000000113		22	7. Other Mixed	4. Mixed
141481000000110	900	9i61	9i61.00	Black and Chinese - ethnic category 2001 census	92591000000103	141481000000110		22	7. Other Mixed	4. Mixed
157291000000115	20000	9i62	9i62.00	Black and White - ethnic category 2001 census	110771000000104	157291000000115		22	7. Other Mixed	4. Mixed
141491000000112	10000	9i63	9i63.00	Chinese and White - ethnic category 2001 census	92601000000109	141491000000112		22	7. Other Mixed	4. Mixed
158361000000116	40000	9i64	9i64.00	Asian and Chinese - ethnic category 2001 census	92611000000106	158361000000116		22	7. Other Mixed	4. Mixed
937511000006119	30000	9i65	9i65.00	Other Mixed or Mixed unspecified - ethnic category 2001 census	92621000000100	141501000000118		22	7. Other Mixed	4. Mixed
1968121000006114	40000	9t07	9t07.00	Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census	976771000000108	2484911000000115		22	7. Other Mixed	4. Mixed
1968291000006119	300	9t15	9t15.00	Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census	977551000000106	2486561000000119		22	7. Other Mixed	4. Mixed
1968471000006116	100	9t26	9t26.00	Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census	978051000000102	2487561000000117		22	7. Other Mixed	4. Mixed
4740421000006111	30000	^ESCTET474042		Ethnicity / related nationality data	186034007	286004017		17	17. Not Stated	5. Not Stated
8224821000006111	10000	^ESCTET822482		Ethnicity	723621000000103	1582261000000111		31	17. Not Stated	5. Not Stated
6270391000006119	1	^ESCTET627039		Ethnic groups (1991 census) (United Kingdom)	365455004	2982933016		22	17. Not Stated	5. Not Stated
8406531000006110	300000	^ESCTET840653		Ethnicity not stated	1024701000000100	2587011000000118		17	17. Not Stated	5. Not Stated
6260901000006118	80	^ESCTET626090		Ethnic group	364699009	487864014		31	17. Not Stated	5. Not Stated
6591901000006115	200	^ESCTET659190		Ethnicity	397731000	1785938019		17	17. Not Stated	5. Not Stated
6270381000006117	600	^ESCTET627038		Ethnic groups (1991 census) (UK)	365455004	2670706014		22	17. Not Stated	5. Not Stated
6597601000006118	1000	^ESCTET659760		Ethnic background	398089004	1777653018		31	17. Not Stated	5. Not Stated
6270401000006117	4000	^ESCTET627040		Ethnicity / related nationality data - finding	365456003	488665010		31	17. Not Stated	5. Not Stated
253627011	100000	226	226..00	O/E - ethnic group	162730000	253627011		27	17. Not Stated	5. Not Stated
253628018	10000	226-1	226..11	O/E - ethnic origin	162730000	253628018		27	17. Not Stated	5. Not Stated
253635014	3000	226Z	226Z.00	O/E - ethnic group NOS	162730000	253627011		27	17. Not Stated	5. Not Stated
649261000006110	200000	9S	9S...00	Ethnic group finding	397731000	1777341010		22	17. Not Stated	5. Not Stated
456652017	300000	9SE	9SE..00	Ethnic group not recorded	312861003	456652017		22	17. Not Stated	5. Not Stated
286003011	90000	9SZ	9SZ..00	Ethnic groups (census) NOS	397731000	1777341010		22	17. Not Stated	5. Not Stated
286005016	900000	9T	9T...00	Ethnicity and other related nationality data	186034007	286005016		22	17. Not Stated	5. Not Stated
286006015	800	9T1	9T1..00	New Zealand ethnic groups	186035008	286006015		22	17. Not Stated	5. Not Stated
141291000000111	500000	9i	9i...00	Ethnic category - 2001 census	92381000000106	141291000000111		22	17. Not Stated	5. Not Stated
141421000000114	2000000	9iG	9iG..00	Ethnic category not stated - 2001 census	92531000000104	141421000000114		22	17. Not Stated	5. Not Stated
2484471000000115	5000	9t	9t...00	Ethnic category - 2011 census	976551000000109	2484471000000115		22	17. Not Stated	5. Not Stated
2484511000000112	40000	9t0	9t0..00	Ethnic category - 2011 census England and Wales	976571000000100	2484511000000112		22	17. Not Stated	5. Not Stated
2484551000000111	600	9t1	9t1..00	Ethnic category - 2011 census Northern Ireland	976591000000101	2484551000000111		22	17. Not Stated	5. Not Stated
2484591000000115	20	9t2	9t2..00	Ethnic category - 2011 census Scotland	976611000000109	2484591000000115		22	17. Not Stated	5. Not Stated
