medcodeid	observations	originalreadcode	readcode	term	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	eth16	eth5
158481000000115	80000	9i2B	9i2B.00	Italian - ethnic category 2001 census	93961000000109	158481000000115		22	3. Other White	0. White
138171000000114	3000	9i2C	9i2C.00	Irish Traveller - ethnic category 2001 census	88911000000101	138171000000114		22	3. Other White	0. White
138181000000111	8000	9i2D	9i2D.00	Traveller - ethnic category 2001 census	88921000000107	138181000000111		22	3. Other White	0. White
138191000000113	40000	9i2E	9i2E.00	Gypsy/Romany - ethnic category 2001 census	88931000000109	138191000000113		22	3. Other White	0. White
138201000000110	300000	9i2F	9i2F.00	Polish - ethnic category 2001 census	88941000000100	138201000000110		22	3. Other White	0. White
937301000006110	60000	9i2G	9i2G.00	Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census	88951000000102	138211000000112		22	3. Other White	0. White
937311000006113	10000	9i2H	9i2H.00	Commonwealth of (Russian) Independent States - ethnic category 2001 census	88961000000104	138221000000118		22	3. Other White	0. White
142741000000118	8000	9i2J	9i2J.00	Kosovan - ethnic category 2001 census	93981000000100	142741000000118		22	3. Other White	0. White
138231000000116	30000	9i2K	9i2K.00	Albanian - ethnic category 2001 census	88971000000106	138231000000116		22	3. Other White	0. White
142751000000115	2000	9i2L	9i2L.00	Bosnian - ethnic category 2001 census	93991000000103	142751000000115		22	3. Other White	0. White
142761000000117	2000	9i2M	9i2M.00	Croatian - ethnic category 2001 census	94001000000108	142761000000117		22	3. Other White	0. White
157991000000110	2000	9i2N	9i2N.00	Serbian - ethnic category 2001 census	88981000000108	157991000000110		22	3. Other White	0. White
937371000006116	4000	9i2P	9i2P.00	Other republics which made up the former Yugoslavia - ethnic category 2001 census	94011000000105	142771000000112		22	3. Other White	0. White
142781000000114	5000	9i2Q	9i2Q.00	Mixed Irish and other White - ethnic category 2001 census	94021000000104	142781000000114		22	3. Other White	0. White
937391000006115	300000	9i2R	9i2R.00	Other White European or European unspecified or Mixed European - ethnic category 2001 census	94041000000106	142801000000110		22	3. Other White	0. White
142791000000111	50000	9i2S	9i2S.00	Other mixed White - ethnic category 2001 census	94031000000102	142791000000111		22	3. Other White	0. White
937411000006115	200000	9i2T	9i2T.00	Other White or White unspecified - ethnic category 2001 census	94051000000109	158491000000118		22	3. Other White	0. White
1968071000006114	3000	9t02	9t02.00	White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census	976671000000104	2484711000000117		22	3. Other White	0. White
1968081000006112	300000	9t03	9t03.00	White: any other White background - England and Wales ethnic category 2011 census	976691000000100	2484751000000118		22	3. Other White	0. White
1968251000006113	20	9t11	9t11.00	Irish Traveller - Northern Ireland ethnic category 2011 census	977371000000109	2486201000000116		22	3. Other White	0. White
1968441000006112	30	9t23	9t23.00	White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census	977971000000108	2487401000000115		22	3. Other White	0. White
2487481000000113	2000	9t24	9t24.00	White: Polish - Scotland ethnic category 2011 census	978011000000101	2487481000000113		22	3. Other White	0. White
1968461000006111	2000	9t25	9t25.00	White: any other White ethnic group - Scotland ethnic category 2011 census	978031000000109	2487521000000113		22	3. Other White	0. White
1564921000006112	1	EMISNQIN16		Indian	1564921000006108	1564921000006112		19	8. Indian	1. South Asian
250228011	40000	1347	1347.00	Indian origin	160519009	250228011		17	8. Indian	1. South Asian
285954016	400000	9S6	9S6..00	Indian	414481008	2533844017		22	8. Indian	1. South Asian
781081000006113	4000	9T1D	9T1D.00	Indian	414481008	2533844017		22	8. Indian	1. South Asian
157271000000119	2000000	9i7	9i7..00	Indian or British Indian - ethnic category 2001 census	110751000000108	157271000000119		22	8. Indian	1. South Asian
1968131000006112	100000	9t08	9t08.00	Asian or Asian British: Indian - England and Wales ethnic category 2011 census	976791000000107	2484951000000116		22	8. Indian	1. South Asian
1968301000006118	3000	9t16	9t16.00	Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census	977591000000103	2486641000000116		22	8. Indian	1. South Asian
1968491000006115	800	9t28	9t28.00	Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census	978111000000100	2487681000000110		22	8. Indian	1. South Asian
1565441000006111	1	EMISNQPA32		Pakistani	1565441000006107	1565441000006111		19	9. Pakistani	1. South Asian
196721000006111	4000	134M	134M.00	RACE: Pakistani	186002003	285955015		22	9. Pakistani	1. South Asian
285955015	200000	9S7	9S7..00	Pakistani	186002003	285955015		22	9. Pakistani	1. South Asian
141361000000114	1000000	9i8	9i8..00	Pakistani or British Pakistani - ethnic category 2001 census	92461000000105	141361000000114		22	9. Pakistani	1. South Asian
1968141000006119	90000	9t09	9t09.00	Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census	976811000000108	2484991000000112		22	9. Pakistani	1. South Asian
1968311000006115	1000	9t17	9t17.00	Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census	977711000000100	2486881000000113		22	9. Pakistani	1. South Asian
1968481000006118	600	9t27	9t27.00	Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census	978071000000106	2487601000000117		22	9. Pakistani	1. South Asian
1564291000006119	1	EMISNQBA5		Bangladeshi	1564291000006103	1564291000006119		19	10. Bangladeshi	1. South Asian
196631000006117	2000	134I	134I.00	RACE: Bangladeshi	186003008	285956019		22	10. Bangladeshi	1. South Asian
285956019	70000	9S8	9S8..00	Bangladeshi	186003008	285956019		22	10. Bangladeshi	1. South Asian
937541000006115	600000	9i9	9i9..00	Bangladeshi or British Bangladeshi - ethnic category 2001 census	92471000000103	141371000000119		22	10. Bangladeshi	1. South Asian
1968151000006117	30000	9t0A	9t0A.00	Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census	976831000000100	2485031000000111		22	10. Bangladeshi	1. South Asian
1968321000006111	400	9t18	9t18.00	Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census	977731000000108	2486921000000119		22	10. Bangladeshi	1. South Asian
1968501000006111	300	9t29	9t29.00	Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census	978171000000105	2487801000000118		22	10. Bangladeshi	1. South Asian
250224013	80000	1343	1343.00	Asian origin	160515003	250224013		17	11. Other Asian	1. South Asian
250231012	10000	134A	134A.00	West Indian origin	160522006	250231012		17	11. Other Asian	1. South Asian
250243013	500	134K	134K.00	Race: West indian	160531006	250243013		22	11. Other Asian	1. South Asian
412016016	2000	2263-1	2263.11	O/E - Asian origin	276029002	412016016		27	11. Other Asian	1. South Asian
405069018	3000	9SA6	9SA6.00	E Afric Asian/Indo-Carib (NMO)	270465005	405069018		22	11. Other Asian	1. South Asian
411583012	400	9SA6-1	9SA6.11	East African Asian (NMO)	275596000	411583012		22	11. Other Asian	1. South Asian
411584018	80	9SA6-2	9SA6.12	Indo-Caribbean (NMO)	275597009	411584018		22	11. Other Asian	1. South Asian
285976013	8000	9SA7	9SA7.00	Indian sub-continent (NMO)	186012005	285976013		22	11. Other Asian	1. South Asian
285977016	40000	9SA8	9SA8.00	Other Asian (NMO)	186013000	285977016		22	11. Other Asian	1. South Asian
459784018	200000	9SH	9SH..00	Other Asian ethnic group	315281001	459784018		22	11. Other Asian	1. South Asian
286020010	10000	9T1E	9T1E.00	Asian - ethnic group	315280000	459783012		22	11. Other Asian	1. South Asian
1572831000000110	20000	9T9	9T9..00	Nepali	718131000000106	1572831000000110		22	11. Other Asian	1. South Asian
141381000000117	900000	9iA	9iA..00	Other Asian background - ethnic category 2001 census	92481000000101	141381000000117		22	11. Other Asian	1. South Asian
