prodcodeid	dmdid	termfromemis	productname	formulation	routeofadministration	drugsubstancename	substancestrength	bnfchapter	drugissues
12291841000033116	34248811000001100	Xaggitin XL 27mg tablets (Ethypharm UK Ltd)	Xaggitin XL 27mg tablets	Modified-release tablet	Oral	Methylphenidate hydrochloride	27.000mg		30000
12291941000033112	34248311000001109	Xaggitin XL 36mg tablets (Ethypharm UK Ltd)	Xaggitin XL 36mg tablets	Modified-release tablet	Oral	Methylphenidate hydrochloride	36.000mg		40000
12292041000033118	34248611000001104	Xaggitin XL 54mg tablets (Ethypharm UK Ltd)	Xaggitin XL 54mg tablets	Modified-release tablet	Oral	Methylphenidate hydrochloride	54.000mg		30000
12875141000033111	12140011000001100	Methylphenidate 10mg/5ml oral solution	Methylphenidate 10mg/5ml oral solution	Oral solution	Oral	Methylphenidate hydrochloride	2.000mg/1.000ml	04040000	70
13314241000033117	37931111000001107	Ritalin XL 10mg capsules (Sandoz Ltd)	Ritalin XL 10mg capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	10.000mg		200
13314341000033110	37931511000001103	Ritalin XL 20mg capsules (Sandoz Ltd)	Ritalin XL 20mg capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	20.000mg		300
13314441000033116	37931711000001108	Ritalin XL 30mg capsules (Sandoz Ltd)	Ritalin XL 30mg capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	30.000mg		200
13314541000033115	37933011000001107	Ritalin XL 40mg capsules (Sandoz Ltd)	Ritalin XL 40mg capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	40.000mg		100
13314641000033119	37931911000001105	Ritalin XL 60mg capsules (Sandoz Ltd)	Ritalin XL 60mg capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	60.000mg		6
14022441000033117	40476811000001103	Metyrol XL 10mg capsules (Zentiva Pharma UK Ltd)	Metyrol XL 10mg capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	10.000mg		8
14022541000033116	40477511000001104	Metyrol XL 20mg capsules (Zentiva Pharma UK Ltd)	Metyrol XL 20mg capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	20.000mg		30
14022641000033115	40478711000001105	Metyrol XL 30mg capsules (Zentiva Pharma UK Ltd)	Metyrol XL 30mg capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	30.000mg		8
14022741000033112	40479111000001102	Metyrol XL 40mg capsules (Zentiva Pharma UK Ltd)	Metyrol XL 40mg capsules	Modified-release capsule	Oral	Methylphenidate hydrochloride	40.000mg		20
14120541000033111	41063911000001108	Affenid XL 36mg tablets (Zentiva Pharma UK Ltd)	Affenid XL 36mg tablets	Modified-release tablet	Oral	Methylphenidate hydrochloride	36.000mg		3
